,x,y,change
68135,-66.42568196363635,18.45157267,-8.929045833333335
68522,-66.42558726666665,18.46174267,-2.861975833333336
68534,-66.42558726666665,18.46066267,-5.710461000000002
68535,-66.42558726666665,18.46057267,-2.871667999999996
68537,-66.42558726666665,18.46039267,-2.6400263333333314
68538,-66.42558726666665,18.46030267,-3.6640370000000004
68539,-66.42558726666665,18.46021267,-4.888957999999999
68540,-66.42558726666665,18.46012267,-4.650110999999999
68541,-66.42558726666665,18.46003267,-4.477154500000001
68542,-66.42558726666665,18.45994267,-4.065276000000001
68544,-66.42558726666665,18.45976267,-3.8246928333333337
68545,-66.42558726666665,18.45967267,-2.538897166666665
68550,-66.42558726666665,18.45922267,-1.4189008333333355
68632,-66.42558726666665,18.45184267,-9.0665335
68633,-66.42558726666665,18.45175267,-10.472172166666667
68634,-66.42558726666665,18.45166267,-9.876803999999995
69023,-66.42549256969696,18.46165267,-3.5551018333333353
69032,-66.42549256969696,18.46084267,-1.5231028333333327
69033,-66.42549256969696,18.46075267,-4.9762293333333325
69037,-66.42549256969696,18.46039267,-2.808489666666663
69038,-66.42549256969696,18.46030267,-2.548375499999999
69039,-66.42549256969696,18.46021267,-3.991979666666662
69041,-66.42549256969696,18.46003267,-5.0723368333333365
69046,-66.42549256969696,18.45958267,-2.096708333333332
69532,-66.42539787272726,18.46084267,-2.891730833333334
69539,-66.42539787272726,18.46021267,-4.752620666666671
69546,-66.42539787272726,18.45958267,-3.2528171666666665
70031,-66.42530317575756,18.46093267,-3.2021383333333304
70524,-66.42520847878787,18.46156267,-1.9943076666666641
70530,-66.42520847878787,18.46102267,-2.042425333333334
70553,-66.42520847878787,18.45895267,-1.337176000000003
71029,-66.42511378181817,18.46111267,-2.1367379999999976
71529,-66.42501908484847,18.46111267,-3.9468209999999964
71530,-66.42501908484847,18.46102267,-5.282484499999997
71548,-66.42501908484847,18.45940267,-1.4465924999999977
71554,-66.42501908484847,18.45886267,-1.8713953333333322
72028,-66.42492438787878,18.46120267,-5.4795498333333335
72029,-66.42492438787878,18.46111267,-5.4087525
